Name,Age,Date_of_Birth,Gender,Marital_Status,BMI,Practicing_Hours_2024_Jan_to_Aug,Dietary_Preference
John Smith,25,1999-03-15,Male,Single,24.5,300,Vegetarian
Sarah Johnson,28,1996-07-22,Female,Married,22.8,250,Non-Vegetarian
Michael Brown,22,2002-01-10,Male,Single,26.3,320,Non-Vegetarian
Emily Davis,24,2000-05-30,Female,Single,21.7,280,Vegetarian
David Wilson,30,1993-11-05,Male,Married,29.1,280,Non-Vegetarian
Olivia Lee,27,1997-09-18,Female,Single,23.8,270,Non-Vegetarian
James Garcia,29,1995-04-03,Male,Married,27.0,310,Vegetarian
Emma Martinez,26,1998-02-14,Female,Single,22.1,290,Non-Vegetarian
Sophia Rodriguez,23,2001-06-20,Female,Single,24.0,260,Vegetarian
Daniel Taylor,31,1991-12-28,Male,Married,28.5,280,Non-Vegetarian
William White,27,1997-03-08,Male,Single,25.2,290,Vegetarian
Ava Anderson,25,1999-08-12,Female,Single,23.5,300,Non-Vegetarian
Joseph Hernandez,28,1996-10-19,Male,Married,27.8,270,Vegetarian
Mia Martinez,22,2002-04-25,Female,Single,22.4,320,Non-Vegetarian
John Davis,30,1993-02-07,Male,Married,26.7,270,Non-Vegetarian
Sophia Anderson,29,1994-09-14,Female,Single,24.9,310,Vegetarian
David Smith,26,1998-05-30,Male,Single,28.3,280,Non-Vegetarian
Olivia Johnson,24,2000-07-17,Female,Single,21.3,290,Non-Vegetarian
Ethan Hernandez,27,1996-03-05,Male,Married,25.8,270,Non-Vegetarian
Isabella Wilson,23,2000-11-08,Female,Single,22.0,300,Vegetarian
Liam Taylor,31,1992-12-15,Male,Married,29.7,320,Non-Vegetarian
Sophia Davis,26,1997-08-21,Female,Single,23.2,280,Non-Vegetarian
James Johnson,25,1999-01-03,Male,Single,24.6,310,Vegetarian
Emma Garcia,28,1995-10-12,Female,Married,26.5,290,Non-Vegetarian
Daniel Anderson,24,2000-04-30,Male,Single,27.1,270,Non-Vegetarian
Ava White,22,2002-03-15,Female,Single,22.3,300,Vegetarian
Joseph Smith,29,1994-06-07,Male,Married,27.4,280,Non-Vegetarian
Mia Johnson,27,1996-07-28,Female,Single,21.9,320,Vegetarian
Ethan Davis,30,1993-03-20,Male,Married,25.4,270,Non-Vegetarian
Sophia Williams,33,1989-09-02,Female,Married,30.2,300,Vegetarian
Rachel Thompson,-41,2005-02-16,male,s,38.1,481,non-veg
Sandra Rush,9,2014-08-12,F,s,33.01,111,nonveg
Danielle Pollard,-11,1974-05-28,Male,married,47.42,86,Vegetarian
James Leonard,49,1974-12-13,female,Married,22.41,191,Non-Vegetarian
Mr. Victor Lee,13,2010-01-04,Female,Married,42.5,204,Non Vegetarian
Heather Reyes,47,1925-08-17,Female,single,41.36,363,nv
Timothy Baxter,21,2002-10-05,m,M,41.95,46,Vegetarian
Elizabeth Martin,107,1916-01-14,m,s,45.73,405,veg
Stephanie Burns,71,1952-11-30,F,single,42.05,266,nv
Brady Garcia,106,1917-12-01,m,s,40.8,374,Non-Vegetarian
Ricardo Roth,12,2011-08-07,male,Married,22.31,78,v
Megan Williams,28,1984-06-03,female,married,34.28,253,non-veg
George Gibbs,76,1947-05-23,male,Married,44.65,220,v
David Contreras,60,1968-07-15,m,married,33.17,217,Non-Vegetarian
Patrick Salazar,29,1994-05-28,m,Single,32.36,111,nv
Franklin Gross,-40,2009-10-07,male,single,34.3,185,non-veg
Kelly Mason,11,2012-06-02,Male,single,44.97,248,v
Jeffrey Simon,21,2007-08-18,Female,single,32.19,217,nv
Lisa Trujillo,31,1992-05-02,female,s,48.28,190,nv
Barry Moore,7,2016-08-07,Male,s,16.8,66,v
Mr. Justin Gonzalez,58,1965-01-26,Male,Single,38.27,353,nonveg
Jennifer Moon MD,80,1943-03-07,m,married,27.88,296,veg
Rodney Lane,92,1931-04-09,female,Single,26.62,172,nonveg
Erica Stewart,45,1978-10-05,F,single,13.5,480,non-veg
Kara Lee,24,1999-02-26,F,married,42.9,371,v
Jacob Allen,72,1951-05-31,male,Single,41.67,278,Non-Vegetarian
Tamara Parker,3,2020-05-20,Female,M,34.78,314,Non-Vegetarian
Karen Schmitt,39,1984-12-25,Male,M,35.58,24,v
Jamie Luna,18,2005-01-13,male,M,43.81,264,v
Alan Moore,94,1929-03-22,m,Single,45.55,433,Non Vegetarian
Kayla Williams,9,2014-07-03,female,married,46.76,465,Non-Vegetarian
Sergio King,68,1918-07-03,female,married,39.92,57,non-veg
Ryan Evans,16,2007-04-20,Male,Married,33.45,48,Non Vegetarian
Lance Smith,79,1944-12-20,m,M,11.78,129,nv
Billy Garcia,101,1922-09-30,Male,married,38.02,350,non-veg
Nicholas Kennedy,59,2018-08-30,F,M,20.34,28,nv
Emily Hughes,-12,1925-11-12,m,Single,23.4,79,v
Jessica Kirby,84,1939-05-26,Female,Married,29.99,157,nonveg
John Johnson,6,1909-10-18,female,married,30.49,320,non-veg
Autumn Hamilton,31,1992-01-23,F,Single,49.12,276,Non Vegetarian
Alexis Johnson,3,2020-04-18,female,Married,32.56,308,Non Vegetarian
Tina Murphy,111,1912-07-29,Male,Married,38.68,405,non-veg
Meghan Mason,93,1930-08-02,F,single,43.82,92,non-veg
Allen Mccarty,113,1910-02-11,F,s,17.03,75,nv
Lisa Ross,-29,1938-05-20,Male,s,35.92,437,nonveg
Andrea Ramirez,43,1980-06-28,Male,Married,11.77,401,non-veg
Justin Rivera,19,2004-11-13,Male,Single,30.38,307,non-veg
John Walker,71,1952-07-17,Male,married,26.94,136,veg
Brandon Owens,90,1933-10-05,Female,single,32.81,56,nonveg
Alexander Scott,99,1924-09-13,female,M,18.57,385,nv
Olivia Robinson,31,1992-08-15,Male,single,28.55,372,nv
Victor Rodriguez,11,2012-08-01,Male,s,39.73,465,Non-Vegetarian
Shelley Nelson,95,1928-01-28,Female,married,41.81,90,Non-Vegetarian
Nancy Davis,41,1982-01-17,female,married,47.83,443,non-veg
Matthew King,86,1937-05-24,male,Married,15.71,222,nv
Anthony Hoffman,57,1966-01-11,F,M,49.13,172,Vegetarian
Louis Williams,55,1968-07-15,F,Married,13.97,25,non-veg
Michael Day,68,1955-10-27,F,single,21.26,396,v
Elizabeth Molina,2,2021-02-16,F,s,24.11,397,Non Vegetarian
Jonathan Black,76,1947-07-16,Female,Single,20.24,211,v
Louis Bennett,110,1913-02-16,male,s,44.78,142,non-veg
Becky Ward,-25,2010-12-01,m,s,17.29,7,non-veg
Jeffrey Johnson,42,1981-07-29,male,married,34.94,220,Non-Vegetarian
Aaron Garcia,101,1922-10-19,female,s,43.44,74,nv
Marissa Wilson,-81,1931-10-04,female,Single,47.49,212,Non Vegetarian
Robert Miller,54,1969-08-26,Male,married,19.96,33,Non Vegetarian
Justin Ward,18,2005-08-18,female,single,37.31,406,veg
Ariel Jacobson,52,1926-05-19,m,Married,14.02,60,Non Vegetarian
John Diaz,22,1937-03-25,m,married,11.72,317,nv
David Collier,82,1941-09-08,Female,married,37.82,207,nv
David Browning DVM,95,1928-04-11,male,Single,36.77,254,veg
Kimberly Clements,50,1973-06-27,male,s,43.5,279,non-veg
Elizabeth Walsh,10,2013-04-26,male,married,40.99,32,nv
James Nixon,-55,2013-10-22,female,single,29.88,173,nv
April King,40,1973-02-23,Male,M,35.23,59,Vegetarian
Adam Gregory,29,1994-09-11,female,s,24.23,56,non-veg
Michael Lopez,69,1954-10-18,male,s,30.3,300,Non Vegetarian
Kenneth Ford,113,1910-03-04,male,Single,48.24,138,veg
David Romero,95,1928-08-29,m,Married,28.05,218,non-veg
Darlene Love,84,1939-06-10,F,married,44.15,471,nonveg
Roger Clark,11,2012-02-01,F,s,35.42,60,v
Ivan Joyce,84,1939-03-20,F,M,38.3,135,Non-Vegetarian
Mr. John Austin,80,1943-04-21,Male,single,11.82,404,nv
Jason Lane,71,1952-10-21,Female,single,13.39,458,Non-Vegetarian
Matthew Chen,24,1999-12-31,female,s,22.41,169,nonveg
Denise Smith,39,1984-01-10,m,s,30.76,476,Non Vegetarian
Travis Liu,53,1970-10-23,F,Single,12.9,22,Vegetarian
Susan Jones,5,2018-11-29,F,M,34.66,-9,Vegetarian
Christopher Williams,87,1938-07-27,Male,Single,25.14,199,non-veg
Steven Bishop,100,1923-04-09,male,Married,30.32,17,v
Christopher Smith,109,1914-12-12,Male,Married,49.75,209,nv
James Lee,69,1954-06-04,Male,married,47.75,-4,Non Vegetarian
Steven Mendoza,104,1919-11-27,male,M,20.14,35,Non Vegetarian
Tami Yoder,44,1979-01-08,Female,s,46.26,167,v
Tammy Golden,-33,1916-04-13,female,single,30.4,42,Non Vegetarian
Donald Martinez,105,1918-05-26,F,s,19.79,496,Non Vegetarian
Jacqueline Sims,88,1935-05-21,m,Single,17.12,400,non-veg
Joseph Nelson,17,2006-09-25,Female,M,47.55,393,veg
Robert Young,23,2000-11-28,F,M,46.07,219,nonveg
Cristina Sellers,91,1932-06-03,Male,M,16.62,25,nonveg
Sergio Santos,61,2004-12-31,m,married,13.17,498,Non-Vegetarian
Stacy Mills,-90,1927-07-19,Female,married,37.3,114,nonveg
Yolanda Yu,107,1916-11-03,Male,Married,15.07,479,v
Steven Butler,94,1929-06-07,male,M,22.22,404,Non Vegetarian
Sherri Johnson,2,2013-01-23,male,s,48.91,214,non-veg
Adrienne Rodriguez,15,2008-02-10,m,Married,21.43,181,v
Meghan Ramirez,81,1942-01-22,Female,married,27.19,455,Vegetarian
Victoria Anderson,35,1988-11-06,Male,Single,30.72,178,Non Vegetarian
Amy Gilmore,37,1986-12-27,female,M,37.42,330,nonveg
